s2_cellid,18-25,26-35,36-45,46-55,56-65,66-75,75+
10836464772870832128,540885983.8968766,783095727.973571,678255606.5996877,588973135.4416859,435154495.9669415,264600742.76274002,198342979.92159015
10836464807230570496,575650107.3498994,757307770.5019447,803550725.2339581,572166572.8339691,395858580.1846704,271750797.0625443,189817581.32489043
10836464841590308864,387133915.53463054,559997598.1971122,720145045.7785136,517076568.04879653,336986552.4493971,233193879.4326569,258179373.93348598
10836464875950047232,297955225.89207375,419062375.1679521,407413894.90581113,380547247.22303456,288570282.95413846,232750738.20225462,279725770.3832659
10836464910309785600,877032712.8175155,1000897854.3777087,851671113.9193953,817998128.6192383,587002447.2041397,504343711.93114597,206659158.691409
10836464944669523968,341332283.59326005,384742556.77272856,300294712.5910697,316693254.24094903,256646054.80899227,168174207.13951015,93830700.01815332
10836464979029262336,83283284.15459162,103725009.21345222,70729883.35705107,93351905.75384799,63594790.84858655,35439016.90638158,11739467.950470705
10836465013389000704,69977536.65765505,87141838.10198551,58094558.73465701,81860514.58065307,54133566.09365767,27726948.48699539,6601654.40166557
10836465047748739072,828730712.6435899,858207728.1409633,672001977.388432,698167240.7087213,603437145.683589,207274540.11637667,104829544.70754212
10836465082108477440,1788900987.9628253,1738985299.4425738,1390114427.7907684,1420939490.9239876,1060312178.3785199,355932736.1157701,197424649.85446876
10836465116468215808,376297926.6177739,383029168.38162214,297433480.82732654,323494986.11314327,234837685.2965274,86570654.44109961,40196727.27713138
10836465150827954176,721266461.8817443,769621703.8667706,579084137.5918429,682625432.4046016,528955796.6094744,236925263.78299206,172538838.23945612
10836465185187692544,639040021.1005782,912780287.1076797,670674144.4838451,648084030.0774333,561404755.4862593,419935714.1457245,320952151.9591717
10836465219547430912,557132084.7366701,657698432.299076,602898059.1540291,593083827.8094748,460128474.5391129,326864062.4796607,273720204.2408459
10836465253907169280,657215750.2966362,734340132.6565524,551503664.2011411,553824196.8395385,448130547.46662885,195404194.01223525,176205746.28768483
10836465288266907648,299678515.36856,274820718.6895857,183062672.75212792,175304892.582479,168302096.50518775,103445835.57075393,109440767.67840491
10836465322626646016,589834305.6389645,653771211.9805869,539926485.4711572,674907415.4351771,476377702.2636997,330236894.79603744,291061124.60305244
10836465356986384384,743957062.6603892,876235536.31439,741102840.9757292,727145716.0300617,659339324.5473605,449513221.7557058,256113668.7707728
10836465391346122752,683440391.6369319,802561059.5321305,673943726.6317279,680368635.0311214,587813703.2191211,441918108.68628186,225313000.9333837
10836465425705861120,784772971.17685,792166256.930331,679408292.074941,747429871.4553543,630881595.7877882,466524256.0372829,325401932.86117786
10836465460065599488,816971983.130247,843885298.8536409,695684907.2174041,674998333.1898004,540311751.170273,212692418.15823242,115402724.27288835
10836465494425337856,642574415.999047,707078534.0088897,580292743.9574714,574400309.5656499,492647826.81809306,170065206.6731881,80459523.08149038
10836465528785076224,392791406.5344342,448767246.61851573,360727757.09634644,453868011.23109126,384234801.416001,234322554.8824691,206099393.35241008
10836465597504552960,73233924.63163982,104318827.8925517,74287650.16590802,76921964.00157852,124866475.81078158,43202746.90499616,19493922.38396168
10836465872382459904,27019014.84154407,56989626.72723409,54585696.272131465,28471127.3463701,15425750.851456713,7570009.79135648,3808810.837867618
10836465906742198272,337822122.65041465,630460193.1832479,699305375.4914131,358606948.9944583,166369980.16315004,68926762.23212728,31480048.20658205
10836465941101936640,164818354.20907217,257473628.495705,199679161.07229257,175507589.05847868,232095079.2150799,82036393.86008635,36091737.27267543
10836465975461675008,274536341.91938674,387269615.480882,274583546.29351604,290892940.1848522,448358079.41541386,157852400.39720273,69436791.46352048
10836466009821413376,153871555.9171097,219183942.96106273,156085535.1389386,161620483.19351092,262356537.78672662,90773148.09498557,40958615.60383496
10836466044181151744,320510583.1302207,454616310.09490955,323129580.62078875,337943626.19716835,536405676.0602189,186982729.74252972,83456728.69323869
10836466078540890112,82510070.9561206,105523045.08635052,71351356.08654699,94671445.18800752,78252546.5974893,35692239.66609618,10445115.190176249
10836466112900628480,69993170.15765059,87161306.23405544,58107537.4893703,81878802.82593088,54145659.93327687,27733142.892654005,6603129.260155716
10836466147260366848,67983099.04283789,86251915.23963389,58466587.47685077,80097530.99966912,58931921.89901366,28376103.19695679,7405905.111808296
10836466181620105216,18651430.197335914,28333783.36886851,23882266.326758258,31609661.79099512,25269229.983171947,10620212.448548246,2324822.933429341
